2025-09-07 10:13:24 | INFO | scraper | Fetched page 5 for 07/22/2025
2025-09-07 10:13:25 | INFO | scraper | Fetched page 1 for 07/21/2025
2025-09-07 10:13:25 | INFO | scraper | Fetched page 2 for 07/14/2025
2025-09-07 10:13:26 | ERROR | scraper | Request exception on page 2 for 07/30/2025: 
2025-09-07 10:13:26 | ERROR | scraper | Request exception on page 1 for 07/30/2025: 
2025-09-07 10:13:26 | ERROR | scraper | Request exception on page 5 for 07/30/2025: 
2025-09-07 10:13:26 | INFO | scraper | Fetched page 2 for 07/20/2025
2025-09-07 10:13:27 | INFO | scraper | Fetched page 2 for 07/10/2025
2025-09-07 10:13:27 | INFO | scraper | Fetched page 5 for 07/17/2025
2025-09-07 10:13:27 | INFO | scraper | Fetched page 3 for 07/28/2025
2025-09-07 10:13:27 | INFO | scraper | Fetched page 5 for 07/28/2025
2025-09-07 10:13:28 | INFO | scraper | Fetched page 2 for 07/28/2025
2025-09-07 10:13:28 | INFO | scraper | Fetched page 5 for 07/20/2025
2025-09-07 10:13:28 | INFO | scraper | Fetched page 2 for 07/30/2025
2025-09-07 10:13:29 | INFO | scraper | Fetched page 4 for 07/28/2025
2025-09-07 10:13:30 | ERROR | scraper | Request exception on page 2 for 07/15/2025: 
2025-09-07 10:13:30 | ERROR | scraper | Request exception on page 3 for 07/15/2025: 
2025-09-07 10:13:30 | ERROR | scraper | Request exception on page 4 for 07/15/2025: 
2025-09-07 10:13:30 | INFO | scraper | Fetched page 4 for 07/21/2025
2025-09-07 10:13:31 | INFO | scraper | Fetched page 2 for 07/21/2025
2025-09-07 10:13:31 | INFO | scraper | Fetched page 3 for 07/21/2025
2025-09-07 10:13:32 | INFO | scraper | Fetched page 5 for 07/21/2025
2025-09-07 10:13:32 | INFO | scraper | Fetched page 4 for 07/14/2025
2025-09-07 10:13:32 | INFO | scraper | Fetched page 5 for 07/10/2025
2025-09-07 10:13:32 | INFO | scraper | Fetched page 2 for 07/15/2025
2025-09-07 10:13:32 | INFO | scraper | Fetched page 1 for 07/30/2025
2025-09-07 10:13:33 | INFO | scraper | Fetched page 1 for 07/10/2025
2025-09-07 10:13:33 | INFO | scraper | Updated date collection for 07/13/2025: Page 1, Failed pages: []
2025-09-07 10:13:33 | ERROR | scraper | Request exception on page 1 for 07/24/2025: 
2025-09-07 10:13:33 | ERROR | scraper | Request exception on page 1 for 07/27/2025: 
2025-09-07 10:13:33 | ERROR | scraper | Request exception on page 1 for 07/29/2025: 
2025-09-07 10:13:33 | ERROR | scraper | Request exception on page 1 for 07/06/2025: 
2025-09-07 10:13:33 | INFO | scraper | Fetched page 3 for 07/15/2025
2025-09-07 10:13:34 | INFO | scraper | Fetched page 3 for 07/14/2025
2025-09-07 10:13:34 | INFO | scraper | Fetched page 3 for 07/22/2025
2025-09-07 10:13:34 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/09/2025
2025-09-07 10:13:34 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/23/2025
2025-09-07 10:13:34 | INFO | scraper | Fetched page 4 for 07/20/2025
2025-09-07 10:13:34 | INFO | scraper | Fetched page 3 for 07/10/2025
2025-09-07 10:13:34 | INFO | scraper | Fetched page 5 for 07/30/2025
2025-09-07 10:13:34 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/02/2025
2025-09-07 10:13:35 | INFO | scraper | Fetched page 5 for 07/14/2025
2025-09-07 10:13:36 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/03/2025
2025-09-07 10:13:36 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/08/2025
2025-09-07 10:13:37 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/07/2025
2025-09-07 10:13:38 | INFO | scraper | Fetched page 4 for 07/15/2025
2025-09-07 10:13:38 | INFO | scraper | Fetched page 6 for 07/09/2025
2025-09-07 10:13:38 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/17/2025
2025-09-07 10:13:40 | INFO | scraper | Fetched page 3 for 07/13/2025
2025-09-07 10:13:40 | INFO | scraper | Fetched page 6 for 07/03/2025
2025-09-07 10:13:40 | INFO | scraper | Fetched page 6 for 07/08/2025
2025-09-07 10:13:40 | INFO | scraper | Fetched page 5 for 07/13/2025
2025-09-07 10:13:40 | INFO | scraper | Fetched page 6 for 07/07/2025
2025-09-07 10:13:41 | INFO | scraper | Fetched page 2 for 07/13/2025
2025-09-07 10:13:41 | INFO | scraper | Fetched page 4 for 07/13/2025
2025-09-07 10:13:42 | INFO | scraper | Fetched page 1 for 07/27/2025
2025-09-07 10:13:42 | INFO | scraper | Fetched page 1 for 07/24/2025
2025-09-07 10:13:42 | INFO | scraper | Fetched page 6 for 07/17/2025
2025-09-07 10:13:42 | INFO | scraper | Fetched page 1 for 07/13/2025
2025-09-07 10:13:42 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/01/2025
2025-09-07 10:13:42 | INFO | scraper | Fetched page 8 for 07/23/2025
2025-09-07 10:13:43 | INFO | scraper | Fetched page 10 for 07/09/2025
2025-09-07 10:13:43 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/16/2025
2025-09-07 10:13:43 | INFO | scraper | Fetched page 9 for 07/02/2025
2025-09-07 10:13:43 | INFO | scraper | Fetched page 8 for 07/09/2025
2025-09-07 10:13:43 | INFO | scraper | Fetched page 8 for 07/02/2025
2025-09-07 10:13:43 | INFO | scraper | Fetched page 7 for 07/23/2025
2025-09-07 10:13:44 | INFO | scraper | Fetched page 6 for 07/02/2025
2025-09-07 10:13:44 | INFO | scraper | Fetched page 7 for 07/02/2025
2025-09-07 10:13:45 | INFO | scraper | Fetched page 10 for 07/02/2025
2025-09-07 10:13:45 | INFO | scraper | Fetched page 10 for 07/23/2025
2025-09-07 10:13:45 | INFO | scraper | Fetched page 8 for 07/03/2025
2025-09-07 10:13:45 | INFO | scraper | Fetched page 8 for 07/08/2025
2025-09-07 10:13:46 | ERROR | scraper | Timeout processing batch starting at page 1 for 07/22/2025
2025-09-07 10:13:46 | INFO | scraper | Fetched page 10 for 07/07/2025
2025-09-07 10:13:46 | INFO | scraper | Fetched page 9 for 07/03/2025
2025-09-07 10:13:46 | INFO | scraper | Fetched page 7 for 07/08/2025
2025-09-07 10:13:46 | INFO | scraper | Fetched page 6 for 07/16/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 10 for 07/03/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 9 for 07/07/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 10 for 07/08/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 8 for 07/17/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 8 for 07/07/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 8 for 07/01/2025
2025-09-07 10:13:47 | INFO | scraper | Fetched page 9 for 07/23/2025
2025-09-07 10:13:48 | INFO | scraper | Fetched page 9 for 07/09/2025
2025-09-07 10:13:48 | INFO | scraper | Fetched page 7 for 07/16/2025
2025-09-07 10:13:48 | INFO | scraper | Fetched page 6 for 07/23/2025
2025-09-07 10:13:48 | INFO | scraper | Fetched page 7 for 07/09/2025
2025-09-07 10:13:49 | INFO | scraper | Fetched page 9 for 07/17/2025
